GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_001027105.1	1806888	GCF_001027105.1	1828978	
GCA_006094915.1	10960368	GCF_006094915.1	11020298	
GCA_006364675.1	11348628	GCF_006364675.1	11490958	
GCA_002895385.1	5924718	GCF_002895385.1	5930918	
GCA_001641025.1	3227788	GCF_001641025.1	3232908	
GCA_003945425.1	8089988	GCF_003945425.1	8102498	
GCA_900607265.1	8659668	GCF_900607265.1	8682438	
GCA_004136255.1	8395578	GCF_004136255.1	8432738	
GCA_900620245.1	8405738	GCF_900620245.1	8528298	
GCA_001515745.1	2790298	GCF_001515745.1	2808238	
